Sun Azimuth (deg)	Sun Zenith (deg)	Phytoplankton	Scattering X	Scattering Y	CDOM G	CDOM S	Depth (m)	#wave length (nm) →	410	430	450	470	490	510	530	550	570	590	610	630	650	670	690	710	730
130	40	0.06	0.01	1	0.05	0.014	5	-	0.012659	0.014179	0.016583	0.01961	0.022528	0.022555	0.023868	0.023943	0.023047	0.011441	0.0029649	0.0021547	0.0012726	0.00039519	0.00023218	0.000039789	0.000015018
130	40	0.094	0.01	1	0.141	0.014	5	-	0.0040113	0.0051906	0.0071302	0.0096913	0.012693	0.014369	0.016884	0.01846	0.018904	0.0096229	0.0025768	0.0018581	0.0010952	0.00032178	0.00020853	0.000039243	0.000015005
130	40	0.033	0.01	1	0.02	0.014	5	-	0.021832	0.023884	0.026302	0.029334	0.031543	0.02941	0.029244	0.027846	0.025852	0.012716	0.0032382	0.0023823	0.0014159	0.00046276	0.00025164	0.000040174	0.000015025
130	40	0.033	0.01	1	0.09	0.014	5	-	0.011017	0.014164	0.017642	0.021595	0.024959	0.024691	0.025631	0.025223	0.024007	0.012052	0.0031138	0.0023133	0.0013854	0.00045573	0.00024897	0.000040068	0.000015019
130	40	0.06	0.01	1	0.141	0.014	5	-	0.0053829	0.0073841	0.010075	0.013396	0.016833	0.018094	0.020191	0.021099	0.020955	0.010673	0.0028181	0.0020742	0.0012372	0.00038755	0.00022902	0.000039656	0.00001501
130	40	0.06	0.01	1	0.09	0.014	5	-	0.0086569	0.010617	0.013299	0.016565	0.019802	0.020462	0.022169	0.022645	0.022101	0.011096	0.0028995	0.002119	0.0012569	0.00039181	0.00023078	0.00003973	0.000015014
130	40	0.06	0.01	1	0.02	0.014	5	-	0.016937	0.017679	0.019615	0.022293	0.024845	0.024278	0.025236	0.02497	0.023786	0.011706	0.003015	0.002182	0.0012845	0.00039775	0.00023323	0.000039833	0.00001502
130	40	0.094	0.01	1	0.02	0.014	8	-	0.0065192	0.0060286	0.0068024	0.008246	0.010091	0.010244	0.01142	0.01177	0.01118	0.0036861	0.00051097	0.00032423	0.00017282	0.000071232	0.000056996	0.00003277	0.000015014
130	40	0.06	0.01	1	0.09	0.014	8	-	0.0037669	0.0048457	0.006486	0.0087293	0.011133	0.011319	0.012385	0.012475	0.01172	0.0039839	0.00054715	0.00035881	0.00019164	0.0000776	0.000058745	0.000032881	0.000015014
130	40	0.033	0.01	1	0.09	0.014	8	-	0.005433	0.0075404	0.010026	0.01314	0.015902	0.01512	0.015487	0.01473	0.013316	0.0045258	0.00060324	0.00040154	0.00021282	0.000084437	0.000060459	0.000032997	0.000015019
130	40	0.094	0.01	1	0.09	0.014	8	-	0.002407	0.0028207	0.0037968	0.0052729	0.007168	0.0079046	0.0093773	0.010138	0.0099891	0.0033958	0.000485	0.00031279	0.00016913	0.000070745	0.000056789	0.000032735	0.000015009
130	40	0.094	0.01	1	0.05	0.014	8	-	0.0042181	0.0043349	0.005287	0.0068005	0.00871	0.0091637	0.010493	0.011039	0.010653	0.0035586	0.00049964	0.00031926	0.00017122	0.000071022	0.000056907	0.000032755	0.000015012
130	40	0.094	0.01	1	0.141	0.014	8	-	0.0012285	0.0016644	0.0025124	0.0038287	0.0056039	0.0065552	0.0081309	0.0090979	0.0092046	0.0031993	0.00046706	0.00030478	0.00016651	0.000070396	0.00005664	0.000032709	0.000015004
130	40	0.033	0.01	1	0.05	0.014	8	-	0.0098207	0.01188	0.0142	0.017156	0.019493	0.017614	0.017379	0.016065	0.014211	0.0047452	0.00062216	0.0004104	0.00021577	0.000084874	0.000060603	0.000033018	0.000015022
130	40	0.013	0.01	1	0.09	0.014	8	-	0.0071644	0.010535	0.013935	0.017908	0.020831	0.018799	0.018311	0.016676	0.014643	0.004976	0.0006491	0.00043726	0.00023073	0.000090527	0.000061833	0.000033084	0.000015022
130	40	0.013	0.01	1	0.05	0.014	8	-	0.013085	0.016767	0.019906	0.023555	0.025679	0.021959	0.020577	0.018198	0.015633	0.005218	0.00066969	0.00044708	0.00023403	0.00009104	0.000061987	0.000033105	0.000015025
130	40	0.06	0.01	1	0.141	0.014	8	-	0.0018632	0.0027967	0.004238	0.0062914	0.0086632	0.0093609	0.010721	0.011186	0.010794	0.003752	0.00052647	0.00034928	0.00018848	0.000077154	0.000058579	0.000032855	0.00001501
130	40	0.06	0.01	1	0.02	0.014	8	-	0.010516	0.010609	0.011807	0.013801	0.015791	0.014733	0.015121	0.014504	0.013127	0.0043266	0.00057711	0.00037244	0.0001961	0.000078224	0.000058976	0.000032916	0.00001502
130	40	0.06	0.01	1	0.05	0.014	8	-	0.0067208	0.0075522	0.0091132	0.011326	0.013582	0.013153	0.013878	0.013595	0.012504	0.0041762	0.00056404	0.00036652	0.00019417	0.000077955	0.000058877	0.000032901	0.000015018
130	40	0.013	0.01	1	0.02	0.014	8	-	0.020985	0.024103	0.026263	0.02913	0.030171	0.024715	0.022477	0.019437	0.016422	0.0054075	0.00068562	0.00045462	0.00023654	0.00009143	0.000062103	0.000033121	0.000015028
130	40	0.033	0.01	1	0.141	0.014	8	-	0.0026336	0.0042905	0.006492	0.00941	0.012317	0.01247	0.013385	0.013196	0.012258	0.0042611	0.00058007	0.00039059	0.00020915	0.000083888	0.000060278	0.000032971	0.000015015
130	40	0.013	0.01	1	0.141	0.014	8	-	0.0034275	0.0059344	0.0089558	0.012744	0.016054	0.015463	0.015802	0.014928	0.013475	0.0046841	0.00062389	0.00042511	0.00022661	0.000089882	0.000061639	0.000033058	0.000015018
130	40	0.033	0.01	1	0.02	0.014	8	-	0.015549	0.016861	0.018542	0.021036	0.022767	0.019775	0.01896	0.017149	0.014924	0.004917	0.0006368	0.0004172	0.00021802	0.000085206	0.000060711	0.000033033	0.000015025
130	40	0.094	0.01	1	0.02	0.014	12	-	0.0029581	0.0025274	0.0028447	0.0035861	0.0046401	0.0046031	0.0052252	0.0053379	0.0048521	0.0010273	0.00014769	0.00011368	0.000086103	0.000060654	0.000052582	0.000032743	0.000015014
130	40	0.094	0.01	1	0.141	0.014	12	-	0.00043874	0.00054168	0.00079428	0.0012715	0.0020397	0.0024529	0.0032193	0.0036913	0.003672	0.00085571	0.00014036	0.00011061	0.000084995	0.000060306	0.00005238	0.000032683	0.000015004
130	40	0.06	0.01	1	0.141	0.014	12	-	0.00064523	0.00094861	0.001508	0.0024618	0.0037363	0.004048	0.0047725	0.004961	0.0046129	0.0010514	0.0001503	0.00011763	0.00008878	0.000062939	0.000053448	0.000032827	0.00001501
